time,"P(B0|X4)","P(B1|X3)","P(B1|X4)","P(B2|X4)","P(B0|X6)","P(B1|X6)","P(B2|X6)"
9.650000e-11,1.805631e-03,7.928797e-01,7.307953e-02,7.450981e-02,1.841766e-03,7.453557e-02,7.599450e-02
9.700000e-11,1.825143e-03,7.929029e-01,7.388152e-02,7.532727e-02,1.861750e-03,7.535697e-02,7.683178e-02
9.750000e-11,1.844783e-03,7.929252e-01,7.468434e-02,7.614567e-02,1.881685e-03,7.617854e-02,7.766917e-02
9.800000e-11,1.864533e-03,7.929467e-01,7.548795e-02,7.696498e-02,1.901713e-03,7.700021e-02,7.850672e-02
9.850000e-11,1.884285e-03,7.929673e-01,7.629236e-02,7.778511e-02,1.921871e-03,7.782194e-02,7.934447e-02
9.900000e-11,1.903958e-03,7.929871e-01,7.709760e-02,7.860601e-02,1.942065e-03,7.864375e-02,8.018236e-02
9.950000e-11,1.923574e-03,7.930061e-01,7.790366e-02,7.942765e-02,1.962175e-03,7.946572e-02,8.102034e-02
1.000000e-10,1.943228e-03,7.930244e-01,7.871047e-02,8.025005e-02,1.982177e-03,8.028786e-02,8.185839e-02
1.005000e-10,1.962085e-03,7.930410e-01,7.948887e-02,8.104396e-02,2.001233e-03,8.108011e-02,8.266631e-02
1.010000e-10,1.974196e-03,7.930476e-01,8.007886e-02,8.164634e-02,2.013248e-03,8.167476e-02,8.327338e-02
1.015000e-10,1.974634e-03,7.930300e-01,8.039079e-02,8.196077e-02,2.012877e-03,8.196974e-02,8.357043e-02
1.020000e-10,1.968180e-03,7.929812e-01,8.051496e-02,8.207854e-02,2.004664e-03,8.205038e-02,8.364341e-02
1.025000e-10,1.965014e-03,7.929097e-01,8.057519e-02,8.213373e-02,1.999249e-03,8.204936e-02,8.363545e-02
1.030000e-10,1.970317e-03,7.928323e-01,8.063282e-02,8.219450e-02,2.002720e-03,8.204271e-02,8.363024e-02
1.035000e-10,1.979775e-03,7.927611e-01,8.069595e-02,8.226634e-02,2.011257e-03,8.204764e-02,8.364301e-02
1.040000e-10,1.985034e-03,7.926980e-01,8.075861e-02,8.233534e-02,2.016095e-03,8.205856e-02,8.366005e-02
1.045000e-10,1.982607e-03,7.926396e-01,8.081888e-02,8.239455e-02,2.012890e-03,8.207014e-02,8.367016e-02
1.050000e-10,1.976969e-03,7.925825e-01,8.087692e-02,8.244690e-02,2.005719e-03,8.208021e-02,8.367342e-02
